HRV__sum_values;HRV__median;HRV__mean;HRV__length;HRV__standard_deviation;HRV__variance;HRV__root_mean_square;HRV__maximum;HRV__absolute_maximum;HRV__minimum
76054282.86000001;701.17;707.6528542717309;107474.0;139.83014324994008;19552.468961298764;721.335588419306;2697.27;2697.27;323.24
76944241.23999998;804.69;832.5046387882064;92425.0;228.98382911570835;52433.59399649192;863.4220101435765;2687.5;2687.5;223.63
78244071.43;712.89;717.6577492731159;109027.0;192.33509404293915;36992.788400506244;742.9841408080395;3893.55;3893.55;231.45
79923703.24;679.69;722.3696752560081;110641.0;151.6237744155201;22989.768968008528;738.1109108375781;2528.32;2528.32;246.09
48462060.25000001;648.44;631.4521772838027;76747.0;120.88454772482164;14613.073878634681;642.9190665045559;5000.0;5000.0;192.38
86518361.5;769.53;781.6276221880929;110690.0;161.9912294383486;26241.1584149477;798.2373695727103;2673.83;2673.83;192.38
53644005.96;676.76;626.4993396788321;85625.0;241.98287752816094;58555.713016808935;671.6078734163423;2649.41;2649.41;107.42
75993471.75;673.83;698.0267270756598;108869.0;158.5579506358196;25140.623709831;715.8085885359219;2472.66;2472.66;217.77
93750841.33999999;811.52;841.5921554440424;111397.0;191.48830505737826;36667.77097374756;863.1020374664266;2432.62;2432.62;256.84
88668330.80999997;794.92;795.0534033624746;111525.0;126.31946992797205;15956.608482883836;805.025790072056;2124.02;2124.02;187.5
133227505.74;2000.0;1431.5994255442608;93062.0;608.1159911939591;369805.05874581134;1555.4041191807578;2614.26;2614.26;164.06
83928965.05;723.63;748.7573939923811;112091.0;151.55274691224506;22968.235096647;763.9410122220884;5000.0;5000.0;193.36
88723276.5;916.99;1112.9083126364114;79722.0;503.3787136327944;253390.12933860684;1221.4561153286809;3086.91;3086.91;187.5
95046878.9;871.09;919.9004955334244;103323.0;269.3108196854554;72528.31759965185;958.5119922475105;2943.36;2943.36;184.57
86083109.54;765.63;899.8485275547752;95664.0;312.85928019053887;97880.92920134209;952.684786140641;2541.99;2541.99;172.85
10341349.56;850.59;878.9927377815555;11765.0;290.29907301592783;84273.55179390698;925.6898967076509;3444.34;3444.34;5.86
87321897.59;852.54;892.3965783691532;97851.0;234.77797900932788;55120.69942770441;922.763432583171;2496.09;2496.09;323.24
